No.,Time,Source,Destination,Protocol,Length,Info,,,,TIME 1 ,TIME 2,DELAY ,delay 2,delay 1,jitter
1,0,192.168.100.41,93.184.216.34,TCP,66,52949  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,0,0.016347,0.016347,0.000191,-0.016156,0.016347
2,0.016347,40.90.189.152,192.168.100.41,TCP,54,443  >  58153 [ACK] Seq=1 Ack=1 Win=12061 Len=0,,,,0.016347,0.016538,0.000191,0.002924,0.002733,0.000191
3,0.016538,192.168.100.41,40.90.189.152,TCP,54,[TCP ACKed unseen segment] 58153  >  443 [ACK] Seq=179943468 Ack=1297691774 Win=509 Len=0,,,,0.016538,0.019462,0.002924,0.001206,-0.001718,0.002924
4,0.019462,93.184.216.34,192.168.100.41,TCP,62,"80  >  52949 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,0.019462,0.020668,0.001206,0.00193,0.000724,0.001206
5,0.019772,192.168.100.41,93.184.216.34,TCP,54,52949  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,0.020668,0.022598,0.00193,0.000308,-0.001622,0.00193
6,0.020668,192.168.100.41,93.184.216.34,TCP,54,"52949  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,0.022598,0.022906,0.000308,0.000201,-0.000107,0.000308
7,0.022598,93.184.216.34,192.168.100.41,TCP,54,80  >  52949 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,0.022906,0.023107,0.000201,4.998259,4.998058,0.000201
8,0.022906,93.184.216.34,192.168.100.41,TCP,54,"80  >  52949 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,0.023107,5.021366,4.998259,5.006685,0.008426,4.998259
9,0.023107,192.168.100.41,93.184.216.34,TCP,54,52949  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,5.021366,10.028051,5.006685,0,-5.006685,5.006685
10,5.021366,192.168.100.41,93.184.216.34,TCP,66,52950  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,10.028051,10.028051,0,0.003707,0.003707,0
11,10.028051,93.184.216.34,192.168.100.41,TCP,62,"80  >  52950 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,10.028051,10.031758,0.003707,0.000312,-0.003395,0.003707
12,10.028051,192.168.100.41,93.184.216.34,TCP,54,52950  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,10.031758,10.03207,0.000312,0.000915,0.000603,0.000312
13,10.031758,192.168.100.41,93.184.216.34,TCP,54,"52950  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,10.03207,10.032985,0.000915,0.001846,0.000931,0.000915
14,10.03207,93.184.216.34,192.168.100.41,TCP,54,80  >  52950 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,10.032985,10.034831,0.001846,0.00031,-0.001536,0.001846
15,10.032985,93.184.216.34,192.168.100.41,TCP,54,"80  >  52950 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,10.034831,10.035141,0.00031,5.002876,5.002566,0.00031
16,10.034831,192.168.100.41,93.184.216.34,TCP,54,52950  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,10.035141,15.038017,5.002876,1E-06,-5.002875,5.002876
20,10.035141,192.168.100.41,93.184.216.34,TCP,66,52951  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,15.038017,15.038018,1E-06,1E-06,1.77636E-15,1E-06
21,15.038017,192.168.100.41,TCP,62,"80  >  52951 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,15.038018,15.038019,1E-06,1E-06,-1.77636E-15,1E-06
22,15.038018,93.184.216.34,TCP,54,52951  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,15.038019,15.03802,1E-06,-1E-05,-1.1E-05,1E-06
23,15.038019,93.184.216.34,TCP,54,"52951  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,15.03802,15.03801,-1E-05,1.2E-05,2.2E-05,-1E-05
24,15.03802,192.168.100.41,TCP,54,80  >  52951 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,15.03801,15.038022,1.2E-05,0.006958,0.006946,1.2E-05
25,15.03801,192.168.100.41,TCP,54,"80  >  52951 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,15.038022,15.04498,0.006958,5.007327,5.000369,0.006958
26,15.038022,93.184.216.34,TCP,54,52951  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,15.04498,20.052307,5.007327,,-5.007327,
27,15.04498,93.184.216.34,TCP,66,52952  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,
28,20.052307,192.168.100.41,TCP,62,"80  >  52952 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,total delay,20.052307,,total jitter,15.04498
29,20.055517,93.184.216.34,TCP,54,52952  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,rata delay ,0.022181756,,rata jitter,0.016642677
30,20.055843,93.184.216.34,TCP,54,"52952  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,,
31,20.056437,192.168.100.41,TCP,54,80  >  52952 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,,
32,20.058389,192.168.100.41,TCP,54,"80  >  52952 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,,
33,20.058692,93.184.216.34,TCP,54,52952  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,,
34,20.058893,93.184.216.34,TCP,66,52953  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,
35,25.066476,192.168.100.41,TCP,62,"80  >  52953 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,,
36,25.06993,93.184.216.34,TCP,54,52953  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,,
37,25.070253,93.184.216.34,TCP,54,"52953  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,,
38,25.071177,192.168.100.41,TCP,54,80  >  52953 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,,
39,25.073201,192.168.100.41,TCP,54,"80  >  52953 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,,
40,25.073511,93.184.216.34,TCP,54,52953  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,,
41,25.073714,93.184.216.34,TCP,66,52954  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,
42,30.080112,192.168.100.41,TCP,62,"80  >  52954 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,,
43,30.081173,93.184.216.34,TCP,54,52954  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,,
44,30.081326,93.184.216.34,TCP,54,"52954  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,,
45,30.084304,192.168.100.41,TCP,54,80  >  52954 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,,
46,30.084617,192.168.100.41,TCP,54,"80  >  52954 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,,
47,30.085558,93.184.216.34,TCP,54,52954  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,,
48,30.087884,93.184.216.34,TCP,66,52955  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,
49,30.088197,192.168.100.41,TCP,54,[TCP Dup ACK 2#1] 443  >  58153 [ACK] Seq=1 Ack=1 Win=12061 Len=0,,,,,,,,,,
50,30.088398,40.90.189.152,TCP,54,[TCP Dup ACK 3#1] [TCP ACKed unseen segment] 58153  >  443 [ACK] Seq=179943468 Ack=1297691774 Win=509 Len=0,,,,,,,,,,
51,35.094084,192.168.100.41,TCP,62,"80  >  52955 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,,
52,35.097668,93.184.216.34,TCP,54,52955  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,,
53,35.097975,93.184.216.34,TCP,54,"52955  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,,
54,35.098889,192.168.100.41,TCP,54,80  >  52955 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,,
55,35.101022,192.168.100.41,TCP,54,"80  >  52955 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,,
56,35.101337,93.184.216.34,TCP,54,52955  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,,
57,35.101538,93.184.216.34,TCP,66,52956  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,
